id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,contracts_won,total_contract_value_taka,contracts_with_no_value_printed,first_award_date,last_award_date,tender_ids,procuring_entities,procuring_entity_count,agencies,districts,addresses_printed,tenderer_ids_printed,beneficial_owners_declared
co0001,M/S. Niaz Traders,NIAZ TRADERS,,1,contract awarded,8,Contract_Awards_PDFs/Tender_1000267.pdf,1,,8,546286288.5,0,2019-09-04,2025-05-19,1000267;1035179;1044320;1082525;293018;535719;789921;975322,Superintending Engineer (Civil Circle-3) | Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area | Superintending Engineer (Civil Circle-4) | Office of the Chief Engineer (Implementation) | Purbachal New Town Project,5,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"154, Motijheel C/A. Masjid Market (2nd Floor), Room No.301-303, Dhaka-1000.",,0
co0002,M/s. Moni Construction,MONI CONSTRUCTION,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1000426.pdf,1,,1,15808878,0,2024-09-19,2024-09-19,1000426,Office of the Project Director,1,Rajshahi Development Authority,Rajshahi,"Thikadar para, Alam Nagar, Rangpur-5402",,0
co0003,Momotaj Engineers Ltd.,MOMOTAJ ENGINEERS LTD,,1,contract awarded,10,Contract_Awards_PDFs/Tender_1000945.pdf,1,,10,853536207.97,0,2018-10-04,2025-05-19,1000945;1081213;199891;431689;431697;431707;431708;601514;826146;948434,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka. | Superintending Engineer (Civil Circle-4) | Office of the Chief Engineer (Implementation) | Uttara 3rd Phase Project | Purbachal New Town Project | Uttara Apartment Project | Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area",7,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.",,0
co0004,M/S. Alam & Co.,ALAM CO,,1,contract awarded,5,Contract_Awards_PDFs/Tender_1001120.pdf,1,,5,21641858.289,0,2018-07-01,2025-12-23,1001120;1173557;189828;427858;507537,"Superintending Engineer (Civil Circle-1) | Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka. | Office of the Chief Engineer (Implementation) | Purbachal New Town Project | Superintending Engineer (Civil Circle-3)",5,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"61, Satish Sarker Road, Gandaria, Dhaka Bangladesh",1030557,1
co0005,Aliza Enterprise,ALIZA ENTERPRISE,,1,contract awarded,14,Contract_Awards_PDFs/Tender_1001460.pdf,1,,14,43146390.771,0,2023-03-06,2026-05-10,1001460;1001461;1008545;1082495;1083760;1097226;1097756;1123494;1146510;1146511;756104;887587;980096;980158,Office of the Superintending Engineer (Mechanical) | Purbachal New Town Project | Superintending Engineer (Civil Circle-4) | Office of the Superintending Engineer (Electrical) | Superintending Engineer (Civil Circle-1),5,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"610, Shewrapara, Mirpur, Dhaka-1216",1126694,5
co0006,Al- Arafat Services (PVT.) Limited,AL ARAFAT SERVICES PVT LIMITED,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1001613.pdf,1,,1,13217985,0,2024-10-22,2024-10-22,1001613,Superintending Engineer (Civil Circle-1),1,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Ka-23, Kalachandpur (1st Floor), Baridhara, North Road, Gulshan, Dhaka-1212, Bangladesh.",,0
co0007,CPDL LTD.,CPDL LTD,,1,contract awarded,3,Contract_Awards_PDFs/Tender_1001782.pdf,1,,3,81533286.612,0,2022-10-19,2024-08-22,1001782;730799;862635,Project Director (CDA Square) | Project Director (Dewanhat),2,Chittagong Development Authority,Chattogram,"CPDL LTD. 81/A S.S Khaled Road, Chittagong-4000 Tel:-031-2854442",,0
co0008,MS TECHNOLOGIES LIMITED,MS TECHNOLOGIES LIMITED,,1,contract awarded,6,Contract_Awards_PDFs/Tender_1001843.pdf,1,,6,38557478.036,0,2022-05-10,2024-08-25,1001843;670297;780102;791688;909179;909196,"Project Director (CDA Square) | Project Director (Master Plan) | Management Information System (MIS) | Project Director (Dewanhat) | Construction Division-1, Chattogram Development Authority",5,Chittagong Development Authority,Chattogram,"MM Tower (5th), CDA Avenue Road, Besides Sanmar Ocean City, PO: Khulshi, PS: Panchlaish. Chattogram.",,0
co0009,Powercell Engineering Ltd,POWERCELL ENGINEERING LTD,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1002814.pdf,1,,1,907067.988,0,2024-12-18,2024-12-18,1002814,Office of the Superintending Engineer (Electrical),1,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"623/1 (2nd & 3rd floor) Begum Rokeya Sarani, Kazipara, Mirpur, Dhaka-1216, Bangladesh",,0
co0010,PROPERTY DEVELOPMENT LIMITED,PROPERTY DEVELOPMENT LIMITED,,1,contract awarded,2,Contract_Awards_PDFs/Tender_1002854.pdf,1,,2,6023786.688,0,2024-12-18,2025-08-24,1002854;1081271,Office of the Superintending Engineer (Electrical),1,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"PRAN-RFL Center, 105 Pragati Sarani, Middle Badda, Dhaka-1212, Bangladesh",,0
co0011,Gess Bangladesh,GESS BANGLADESH,,1,contract awarded,7,Contract_Awards_PDFs/Tender_1003623.pdf,1,,7,123992774.985,0,2023-12-10,2025-05-22,1003623;1023060;1058290;1058292;842165;959288;962656,"Uttara Apartment Project | Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area | Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",3,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"53-54 ,Gess Bangladesh ,Ocean City ,Chakaria ,Cox'sBazar",,0
co0012,M/S. Raquib & Brothers,RAQUIB BROTHERS,,1,contract awarded,4,Contract_Awards_PDFs/Tender_100483.pdf,1,,4,99962899.848,0,2017-04-27,2018-08-09,100483;200650;212401;91142,Project Director(Silimpur) | Project Division | Project Director(Shishukanon),3,Chittagong Development Authority,Chittagong,"34/B, Buddhist Temple Road, Nandankanan, Chittagong.",,0
co0013,HAIDER & CO.,HAIDER CO,,1,contract awarded,7,Contract_Awards_PDFs/Tender_1007300.pdf,1,,7,199157176.08,0,2020-10-21,2025-03-27,1007300;1008547;1071058;431706;827548;870259;957252,Superintending Engineer (Civil Circle-4) | Purbachal New Town Project | Uttara 3rd Phase Project,3,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"1/1 KAMALAPUR BAZAR ROAD, DHAKA",,0
co0014,T.S Enterprise,T S ENTERPRISE,,1,contract awarded,12,Contract_Awards_PDFs/Tender_1008472.pdf,1,,12,25688962.253,0,2019-08-04,2026-06-24,1008472;1023057;1023061;1059690;1186179;1189629;1205162;1272697;294388;536842;639927;755274,"Office of the Superintending Engineer (Electrical) | Uttara Apartment Project | Office of the Superintending Engineer (Mechanical) | office of the Chief Engineer ( Project & Design) | Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",5,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"28, Malibagh Chowdhury Para, Dhaka.",1045849,4
co0015,CONVOY SERVICE,CONVOY SERVICE,,1,contract awarded,3,Contract_Awards_PDFs/Tender_1008542.pdf,1,,3,41624521.362,0,2018-10-15,2024-10-17,1008542;214275;948745,Purbachal New Town Project | Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-4),3,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"ABC Skyrise Tower, Level 2 Shahjalal Avenue, Sector No. 04, Uttara, Dhaka-1230, Bangladesh.",,0
co0016,M/S. A. R. Enterprise,A R ENTERPRISE,,1,contract awarded,15,Contract_Awards_PDFs/Tender_1008543.pdf,1,,15,192353107.927,0,2017-11-23,2025-05-19,1008543;1013268;1069558;1069559;1082496;119545;174720;214247;251227;514341;601519;620619;661661;789918;870260,Purbachal New Town Project | Superintending Engineer (Civil Circle-4) | Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-1),4,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905",,0
co0017,M/S. Sharif & Sons,SHARIF SONS,,1,contract awarded,5,Contract_Awards_PDFs/Tender_1008544.pdf,1,,5,147739484.296,0,2022-01-26,2026-05-21,1008544;1186178;616293;920946;957254,Purbachal New Town Project | Office of the Superintending Engineer (Electrical),2,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.",1007117,1
co0018,M/s Mithila Enterprise,MITHILA ENTERPRISE,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1008546.pdf,1,,1,6253553.025,0,2024-10-17,2024-10-17,1008546,Purbachal New Town Project,1,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"HOUSE NO 7, ROAD NO 3, NIKUNJA-2, KHILKHET, DHAKA-1229.",,0
co0019,Starlite Services Limited,STARLITE SERVICES LIMITED,,1,contract awarded,7,Contract_Awards_PDFs/Tender_1008548.pdf,1,,7,312151343.182,0,2020-10-21,2025-08-17,1008548;1060379;1082494;431701;601520;667693;889937,Purbachal New Town Project | Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area | Superintending Engineer (Civil Circle-4) | Uttara 3rd Phase Project | Gulshan-Banani-Baridhara Lake Development Project,5,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Planners Tower(16th Floor), Suit No: 8-11,13/A, Sonargaon Road, Dhaka-1000.",,0
co0020,M.A. COMPUTER,M A COMPUTER,,1,contract awarded,2,Contract_Awards_PDFs/Tender_1009276.pdf,1,,2,1745811.177,0,2019-02-06,2024-09-10,1009276;262818,Office of the Assistant Programmer,1,Khulna Development Authority (KDA),Khulna,"3/4, KHULNA COMPUTER CITY, JALIL TOWER (1ST FLOOR), 77, KHAN-A-SABUR ROAD, KHULNA-9000.",,0
co0021,NURJAHAN ENTERPRISE,NURJAHAN ENTERPRISE,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1010247.pdf,1,,1,1111999.96,0,2024-10-01,2024-10-01,1010247,Office of Exen (Maintenance),1,Khulna Development Authority (KDA),Khulna,"10/A, ROAD-6, PLOT-1, MIRPUR, Pallabi",,0
co0022,M/S. Mohshin & Brothers,MOHSHIN BROTHERS,,1,contract awarded,2,Contract_Awards_PDFs/Tender_101083.pdf,1,,2,8666967.168,0,2017-06-11,2019-07-17,101083;303865,Project Director(DC Road) | Project Director(Mohammad Hasan),2,Chittagong Development Authority,Chittagong;Chattogram,"Kader Villa 1st Floor ,O R, Nizam Road Chittagong",,0
co0023,M/S Udayan Builders,UDAYAN BUILDERS,,1,contract awarded,6,Contract_Awards_PDFs/Tender_1011370.pdf,1,,6,154196630.595,0,2018-12-03,2025-03-27,1011370;1069560;202993;431692;431699;601511,Purbachal New Town Project | Office of the Chief Engineer (Implementation) | Uttara 3rd Phase Project,3,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Dhaka Trtade Centre,Level #15, Block # H 99 Kazi Nazrul Islam Avenue, Kawran Bazar C/A, Dhaka-1215",,0
co0024,M/S. ROKEYA TRADERS,ROKEYA TRADERS,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1013009.pdf,1,,1,1220698.956,0,2024-10-15,2024-10-15,1013009,Office of Exen (Maintenance),1,Khulna Development Authority (KDA),Khulna,"Dorbesh Chamber, Railway Hospital Road, Khulna",,0
co0025,M/s Shafique and Sons,SHAFIQUE AND SONS,,1,contract awarded,4,Contract_Awards_PDFs/Tender_1013270.pdf,1,,4,158309972.919,0,2019-07-01,2025-03-09,1013270;1060891;251224;431704,Superintending Engineer (Civil Circle-4) | Purbachal New Town Project | Office of the Chief Engineer (Implementation) | Uttara 3rd Phase Project,4,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Cha-72/1, North Badda, Badda Tower (10th FL), Badda, Dhaka-1212",,0
co0026,M/S Raj Development Construction,RAJ DEVELOPMENT CONSTRUCTION,,1,contract awarded,2,Contract_Awards_PDFs/Tender_1014738.pdf,1,,2,11494052.244,0,2022-06-23,2024-12-12,1014738;684610,Office of the Superintending Engineer (Electrical) | Superintending Engineer (Civil Circle-1),2,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Dogair Natun Utturpara, Sarulia, Demra, Dhaka",,0
co0027,Sumon Enterprise,SUMON ENTERPRISE,,1,contract awarded,3,Contract_Awards_PDFs/Tender_1016323.pdf,1,,3,15946220.492,0,2024-11-07,2025-12-31,1016323;1152671;1183835,"Cox's Bazar Development Authority | Office of the Project Director, CoxDA Residential Flat Project-1",2,Cox's Bazar Development Authority,Cox's Bazar,"House#8, Avenue#2, Block#G, Sec#2, Mirpur, Dhaka-1216",1036497,1
co0028,Nahar Construction,NAHAR CONSTRUCTION,,1,contract awarded,14,Contract_Awards_PDFs/Tender_1016492.pdf,1,,14,10844341.446,0,2024-03-11,2025-12-31,1016492;1016870;1024517;1148941;1150442;1150459;1150469;1160337;1163354;1172101;1184470;949817;949919;978265,Cox's Bazar Development Authority,1,Cox's Bazar Development Authority,Cox's Bazar,"2/1, Mobarok mension, Janata road, Tekpara, Cox'sbazar-4700, Bangladesh.",1094543,4
co0029,The Continantal Builders,THE CONTINANTAL BUILDERS,,1,contract awarded,2,Contract_Awards_PDFs/Tender_1023051.pdf,1,,2,21446116.9,0,2022-03-16,2025-01-23,1023051;647346,Uttara Apartment Project | Uttara 3rd Phase Project,2,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"370/A Khilgaon, Tilpapara, Dhaka.",,0
co0030,Speed Engineers & Technology.,SPEED ENGINEERS TECHNOLOGY,,1,contract awarded,1,Contract_Awards_PDFs/Tender_1023052.pdf,1,,1,10448400.407,0,2025-01-19,2025-01-19,1023052,Uttara Apartment Project,1,Rajdhani Unnayan Kartripakkha (RAJUK),Dhaka,"Plot No-711/1-2, Road No-11, Baitul Aman Housing Society,Adabor, Shyamoli ,Dhaka-1207,Bangladesh.",,0
