level,printed,normalized,tenders,first_source_file,first_page,coordinates
district,Rajshahi,Rajshahi,78,Tender Notice_PDFs/RDA_Tender_1000426.pdf,1,not documented in the supplied documents
city,Boalia,Boalia,9,Tender Notice_PDFs/RDA_Tender_1000426.pdf,1,not documented in the supplied documents
thana,Rajshahi City Corporation,Rajshahi City Corporation,24,Tender Notice_PDFs/RDA_Tender_1000426.pdf,1,not documented in the supplied documents
city,Rajshahi,Rajshahi,40,Tender Notice_PDFs/RDA_Tender_112012.pdf,1,not documented in the supplied documents
thana,Shah Mukhdum,Shah Mukhdum,25,Tender Notice_PDFs/RDA_Tender_112012.pdf,1,not documented in the supplied documents
work location,Madani Avenue Road,Madani Avenue Road,1,Contract_Awards_PDFs/Tender_1000267.pdf,1,not documented in the supplied documents
winner address,"154, Motijheel C/A. Masjid Market (2nd Floor), Room No.301-303, Dhaka-1000.","154, Motijheel C/A. Masjid Market (2nd Floor), Room No.301-303, Dhaka-1000.",8,Contract_Awards_PDFs/Tender_1000267.pdf,1,not documented in the supplied documents
work location,"PRANTIK Residential Area, Kasiadanga More, Rajshahi","PRANTIK Residential Area, Kasiadanga More, Rajshahi",2,Contract_Awards_PDFs/Tender_1000426.pdf,1,not documented in the supplied documents
winner address,"Thikadar para, Alam Nagar, Rangpur-5402","Thikadar para, Alam Nagar, Rangpur-5402",1,Contract_Awards_PDFs/Tender_1000426.pdf,1,not documented in the supplied documents
work location,"Sir Syed Road, Block-A, Mohammadpur, Dhaka","Sir Syed Road, Block-A, Mohammadpur, Dhaka",1,Contract_Awards_PDFs/Tender_1000945.pdf,1,not documented in the supplied documents
winner address,"Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.","Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.",10,Contract_Awards_PDFs/Tender_1000945.pdf,1,not documented in the supplied documents
work location,Hatirjheel Area,Hatirjheel Area,3,Contract_Awards_PDFs/Tender_1001120.pdf,1,not documented in the supplied documents
winner address,"61, Satish Sarker Road, Gandaria, Dhaka Bangladesh","61, Satish Sarker Road, Gandaria, Dhaka Bangladesh",5,Contract_Awards_PDFs/Tender_1001120.pdf,1,not documented in the supplied documents
work location,Mohakhali,Mohakhali,8,Contract_Awards_PDFs/Tender_1001460.pdf,1,not documented in the supplied documents
winner address,"610, Shewrapara, Mirpur, Dhaka-1216","610, Shewrapara, Mirpur, Dhaka-1216",14,Contract_Awards_PDFs/Tender_1001460.pdf,1,not documented in the supplied documents
winner address,"Ka-23, Kalachandpur (1st Floor), Baridhara, North Road, Gulshan, Dhaka-1212, Bangladesh.","Ka-23, Kalachandpur (1st Floor), Baridhara, North Road, Gulshan, Dhaka-1212, Bangladesh.",1,Contract_Awards_PDFs/Tender_1001613.pdf,1,not documented in the supplied documents
work location,"Nasirabad, Chattogram","Nasirabad, Chattogram",8,Contract_Awards_PDFs/Tender_1001782.pdf,1,not documented in the supplied documents
winner address,"CPDL LTD. 81/A S.S Khaled Road, Chittagong-4000 Tel:-031-2854442","CPDL LTD. 81/A S.S Khaled Road, Chittagong-4000 Tel:-031-2854442",3,Contract_Awards_PDFs/Tender_1001782.pdf,1,not documented in the supplied documents
winner address,"MM Tower (5th), CDA Avenue Road, Besides Sanmar Ocean City, PO: Khulshi, PS: Panchlaish. Chattogram.","MM Tower (5th), CDA Avenue Road, Besides Sanmar Ocean City, PO: Khulshi, PS: Panchlaish. Chattogram.",6,Contract_Awards_PDFs/Tender_1001843.pdf,1,not documented in the supplied documents
work location,Uttara Rajuk Zonal Office,Uttara Rajuk Zonal Office,1,Contract_Awards_PDFs/Tender_1002814.pdf,1,not documented in the supplied documents
winner address,"623/1 (2nd & 3rd floor) Begum Rokeya Sarani, Kazipara, Mirpur, Dhaka-1216, Bangladesh","623/1 (2nd & 3rd floor) Begum Rokeya Sarani, Kazipara, Mirpur, Dhaka-1216, Bangladesh",1,Contract_Awards_PDFs/Tender_1002814.pdf,1,not documented in the supplied documents
work location,Mohakhali Rajuk Zonal Office,Mohakhali Rajuk Zonal Office,1,Contract_Awards_PDFs/Tender_1002854.pdf,1,not documented in the supplied documents
winner address,"PRAN-RFL Center, 105 Pragati Sarani, Middle Badda, Dhaka-1212, Bangladesh","PRAN-RFL Center, 105 Pragati Sarani, Middle Badda, Dhaka-1212, Bangladesh",2,Contract_Awards_PDFs/Tender_1002854.pdf,1,not documented in the supplied documents
work location,Sector-18 Block-A Uttara Dhaka,Sector-18 Block-A Uttara Dhaka,2,Contract_Awards_PDFs/Tender_1003623.pdf,1,not documented in the supplied documents
winner address,"53-54 ,Gess Bangladesh ,Ocean City ,Chakaria ,Cox'sBazar","53-54 ,Gess Bangladesh ,Ocean City ,Chakaria ,Cox'sBazar",7,Contract_Awards_PDFs/Tender_1003623.pdf,1,not documented in the supplied documents
work location,Silimpur,Silimpur,4,Contract_Awards_PDFs/Tender_100483.pdf,1,not documented in the supplied documents
winner address,"34/B, Buddhist Temple Road, Nandankanan, Chittagong.","34/B, Buddhist Temple Road, Nandankanan, Chittagong.",4,Contract_Awards_PDFs/Tender_100483.pdf,1,not documented in the supplied documents
work location,Uttara Residential Area of RAJUK,Uttara Residential Area of RAJUK,1,Contract_Awards_PDFs/Tender_1007300.pdf,1,not documented in the supplied documents
winner address,"1/1 KAMALAPUR BAZAR ROAD, DHAKA","1/1 KAMALAPUR BAZAR ROAD, DHAKA",7,Contract_Awards_PDFs/Tender_1007300.pdf,1,not documented in the supplied documents
work location,Uttara Apartment Project,Uttara Apartment Project,36,Contract_Awards_PDFs/Tender_1008472.pdf,1,not documented in the supplied documents
winner address,"28, Malibagh Chowdhury Para, Dhaka.","28, Malibagh Chowdhury Para, Dhaka.",12,Contract_Awards_PDFs/Tender_1008472.pdf,1,not documented in the supplied documents
work location,Purbachal New Town Project,Purbachal New Town Project,30,Contract_Awards_PDFs/Tender_1008542.pdf,1,not documented in the supplied documents
winner address,"ABC Skyrise Tower, Level 2 Shahjalal Avenue, Sector No. 04, Uttara, Dhaka-1230, Bangladesh.","ABC Skyrise Tower, Level 2 Shahjalal Avenue, Sector No. 04, Uttara, Dhaka-1230, Bangladesh.",5,Contract_Awards_PDFs/Tender_1008542.pdf,1,not documented in the supplied documents
winner address,"House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905","House-08, Road-02, Diyabari, Uttara, Dhaka-1230 Contact No:01935968075, 01707568905",15,Contract_Awards_PDFs/Tender_1008543.pdf,1,not documented in the supplied documents
winner address,"Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.","Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.",5,Contract_Awards_PDFs/Tender_1008544.pdf,1,not documented in the supplied documents
winner address,"HOUSE NO 7, ROAD NO 3, NIKUNJA-2, KHILKHET, DHAKA-1229.","HOUSE NO 7, ROAD NO 3, NIKUNJA-2, KHILKHET, DHAKA-1229.",1,Contract_Awards_PDFs/Tender_1008546.pdf,1,not documented in the supplied documents
work location,Purbachal New Project,Purbachal New Project,1,Contract_Awards_PDFs/Tender_1008547.pdf,1,not documented in the supplied documents
winner address,"Planners Tower(16th Floor), Suit No: 8-11,13/A, Sonargaon Road, Dhaka-1000.","Planners Tower(16th Floor), Suit No: 8-11,13/A, Sonargaon Road, Dhaka-1000.",7,Contract_Awards_PDFs/Tender_1008548.pdf,1,not documented in the supplied documents
work location,KDA Office Building,KDA Office Building,3,Contract_Awards_PDFs/Tender_1009276.pdf,1,not documented in the supplied documents
winner address,"3/4, KHULNA COMPUTER CITY, JALIL TOWER (1ST FLOOR), 77, KHAN-A-SABUR ROAD, KHULNA-9000.","3/4, KHULNA COMPUTER CITY, JALIL TOWER (1ST FLOOR), 77, KHAN-A-SABUR ROAD, KHULNA-9000.",2,Contract_Awards_PDFs/Tender_1009276.pdf,1,not documented in the supplied documents
work location,KDA Office Bhavan,KDA Office Bhavan,2,Contract_Awards_PDFs/Tender_1010247.pdf,1,not documented in the supplied documents
winner address,"10/A, ROAD-6, PLOT-1, MIRPUR, Pallabi","10/A, ROAD-6, PLOT-1, MIRPUR, Pallabi",1,Contract_Awards_PDFs/Tender_1010247.pdf,1,not documented in the supplied documents
work location,DC Road,DC Road,1,Contract_Awards_PDFs/Tender_101083.pdf,1,not documented in the supplied documents
winner address,"Kader Villa 1st Floor ,O R, Nizam Road Chittagong","Kader Villa 1st Floor ,O R, Nizam Road Chittagong",2,Contract_Awards_PDFs/Tender_101083.pdf,1,not documented in the supplied documents
work location,Purbachal New Project Area,Purbachal New Project Area,9,Contract_Awards_PDFs/Tender_1011370.pdf,1,not documented in the supplied documents
winner address,"Dhaka Trtade Centre,Level #15, Block # H 99 Kazi Nazrul Islam Avenue, Kawran Bazar C/A, Dhaka-1215","Dhaka Trtade Centre,Level #15, Block # H 99 Kazi Nazrul Islam Avenue, Kawran Bazar C/A, Dhaka-1215",6,Contract_Awards_PDFs/Tender_1011370.pdf,1,not documented in the supplied documents
winner address,"Dorbesh Chamber, Railway Hospital Road, Khulna","Dorbesh Chamber, Railway Hospital Road, Khulna",1,Contract_Awards_PDFs/Tender_1013009.pdf,1,not documented in the supplied documents
work location,Uttara Residential area,Uttara Residential area,6,Contract_Awards_PDFs/Tender_1013268.pdf,1,not documented in the supplied documents
winner address,"Cha-72/1, North Badda, Badda Tower (10th FL), Badda, Dhaka-1212","Cha-72/1, North Badda, Badda Tower (10th FL), Badda, Dhaka-1212",4,Contract_Awards_PDFs/Tender_1013270.pdf,1,not documented in the supplied documents
work location,Rajuk Main and Annex Building,Rajuk Main and Annex Building,1,Contract_Awards_PDFs/Tender_1014738.pdf,1,not documented in the supplied documents
winner address,"Dogair Natun Utturpara, Sarulia, Demra, Dhaka","Dogair Natun Utturpara, Sarulia, Demra, Dhaka",2,Contract_Awards_PDFs/Tender_1014738.pdf,1,not documented in the supplied documents
work location,"CoxDA Bhaban, Coxsbazar","CoxDA Bhaban, Coxsbazar",11,Contract_Awards_PDFs/Tender_1016323.pdf,1,not documented in the supplied documents
winner address,"House#8, Avenue#2, Block#G, Sec#2, Mirpur, Dhaka-1216","House#8, Avenue#2, Block#G, Sec#2, Mirpur, Dhaka-1216",3,Contract_Awards_PDFs/Tender_1016323.pdf,1,not documented in the supplied documents
work location,Coxs Bazar Sadar,Coxs Bazar Sadar,9,Contract_Awards_PDFs/Tender_1016492.pdf,1,not documented in the supplied documents
winner address,"2/1, Mobarok mension, Janata road, Tekpara, Cox'sbazar-4700, Bangladesh.","2/1, Mobarok mension, Janata road, Tekpara, Cox'sbazar-4700, Bangladesh.",14,Contract_Awards_PDFs/Tender_1016492.pdf,1,not documented in the supplied documents
work location,Uttara Apartment Project Sector-18 Block-A Uttara Dhaka,Uttara Apartment Project Sector-18 Block-A Uttara Dhaka,11,Contract_Awards_PDFs/Tender_1023051.pdf,1,not documented in the supplied documents
winner address,"370/A Khilgaon, Tilpapara, Dhaka.","370/A Khilgaon, Tilpapara, Dhaka.",2,Contract_Awards_PDFs/Tender_1023051.pdf,1,not documented in the supplied documents
work location,Uttara Apartment Project Sector 18 Block A Uttara Dhaka,Uttara Apartment Project Sector 18 Block A Uttara Dhaka,5,Contract_Awards_PDFs/Tender_1023052.pdf,1,not documented in the supplied documents
winner address,"Plot No-711/1-2, Road No-11, Baitul Aman Housing Society,Adabor, Shyamoli ,Dhaka-1207,Bangladesh.","Plot No-711/1-2, Road No-11, Baitul Aman Housing Society,Adabor, Shyamoli ,Dhaka-1207,Bangladesh.",1,Contract_Awards_PDFs/Tender_1023052.pdf,1,not documented in the supplied documents
work location,"Uttara Apartment Project, Sector-18, Block-A, Uttara, Dhaka","Uttara Apartment Project, Sector-18, Block-A, Uttara, Dhaka",5,Contract_Awards_PDFs/Tender_1023053.pdf,1,not documented in the supplied documents
winner address,"Plot-1088,Block-I,Bashundhara R/A, P.O-Khilkhet, P.S- Vatara, Dhaka-1229","Plot-1088,Block-I,Bashundhara R/A, P.O-Khilkhet, P.S- Vatara, Dhaka-1229",3,Contract_Awards_PDFs/Tender_1023053.pdf,1,not documented in the supplied documents
winner address,"Plot # 1,1/1 Naya Paltan Rupayan Taj, Office Suit-D1, Box Culvert Road, Dhaka-1000, Bangladesh.","Plot # 1,1/1 Naya Paltan Rupayan Taj, Office Suit-D1, Box Culvert Road, Dhaka-1000, Bangladesh.",1,Contract_Awards_PDFs/Tender_1023054.pdf,1,not documented in the supplied documents
work location,"Dewanhat, Chittagong","Dewanhat, Chittagong",1,Contract_Awards_PDFs/Tender_1023333.pdf,1,not documented in the supplied documents
winner address,"39, Urdu Road, Lalbag, Dhaka","39, Urdu Road, Lalbag, Dhaka",1,Contract_Awards_PDFs/Tender_1023333.pdf,1,not documented in the supplied documents
work location,CoxsBazar,CoxsBazar,3,Contract_Awards_PDFs/Tender_1024374.pdf,1,not documented in the supplied documents
winner address,"23/D, Puran Paltan Line, Dhaka, PO-1000","23/D, Puran Paltan Line, Dhaka, PO-1000",4,Contract_Awards_PDFs/Tender_1024374.pdf,1,not documented in the supplied documents
work location,Kutubdia Upazilla,Kutubdia Upazilla,1,Contract_Awards_PDFs/Tender_1024391.pdf,1,not documented in the supplied documents
winner address,"LIGHT HOUSE ROAD ,KOLATOLI COXBAZAR","LIGHT HOUSE ROAD ,KOLATOLI COXBAZAR",1,Contract_Awards_PDFs/Tender_1024391.pdf,1,not documented in the supplied documents
work location,Coxs Bazar,Coxs Bazar,35,Contract_Awards_PDFs/Tender_1024467.pdf,1,not documented in the supplied documents
winner address,"115/A, Tejturibazar Choklane East Rajabazar. Dhaka 1215.","115/A, Tejturibazar Choklane East Rajabazar. Dhaka 1215.",2,Contract_Awards_PDFs/Tender_1024467.pdf,1,not documented in the supplied documents
winner address,"790/3-A,West Kajipara,Mirpur,Dhaka-1216,Bangladesh.","790/3-A,West Kajipara,Mirpur,Dhaka-1216,Bangladesh.",1,Contract_Awards_PDFs/Tender_1024525.pdf,1,not documented in the supplied documents
winner address,"Kader Shopping mall,10 hatkhola, Frist Floor Suit No:-F-11 Dhaka-1203","Kader Shopping mall,10 hatkhola, Frist Floor Suit No:-F-11 Dhaka-1203",2,Contract_Awards_PDFs/Tender_1024787.pdf,1,not documented in the supplied documents
winner address,"Jahir Smart Tower, 205/1 and 205/1/A, West Kafrul, Begum Rokeya Sharani, Dhaka-1206, Bangladesh","Jahir Smart Tower, 205/1 and 205/1/A, West Kafrul, Begum Rokeya Sharani, Dhaka-1206, Bangladesh",8,Contract_Awards_PDFs/Tender_1024807.pdf,1,not documented in the supplied documents
work location,Coxs Bazar Development Authority,Coxs Bazar Development Authority,2,Contract_Awards_PDFs/Tender_1024943.pdf,1,not documented in the supplied documents
winner address,"goshail danga, bohutola moshjid road, chittagong.","goshail danga, bohutola moshjid road, chittagong.",1,Contract_Awards_PDFs/Tender_1028832.pdf,1,not documented in the supplied documents
work location,"Rajuk Bhaban, Zone Office, Site Office and Quarters","Rajuk Bhaban, Zone Office, Site Office and Quarters",1,Contract_Awards_PDFs/Tender_1030720.pdf,1,not documented in the supplied documents
winner address,"150 MOTIJHEEL, NAHAR MANSION 3RD FLOOR, C/A DHAKA.","150 MOTIJHEEL, NAHAR MANSION 3RD FLOOR, C/A DHAKA.",9,Contract_Awards_PDFs/Tender_1030720.pdf,1,not documented in the supplied documents
work location,Rajuk Zonal Office at Narayanganj,Rajuk Zonal Office at Narayanganj,1,Contract_Awards_PDFs/Tender_1031714.pdf,1,not documented in the supplied documents
winner address,"Reg. Office: 656, Road-14, Baitul Aman Housing Society Adabor, Mohammadpur, Dhaka-1207","Reg. Office: 656, Road-14, Baitul Aman Housing Society Adabor, Mohammadpur, Dhaka-1207",12,Contract_Awards_PDFs/Tender_1031714.pdf,1,not documented in the supplied documents
winner address,"113/2/1 BCC ROAD, 1ST FLOOR, WARI, DHAKA-1203","113/2/1 BCC ROAD, 1ST FLOOR, WARI, DHAKA-1203",6,Contract_Awards_PDFs/Tender_1031800.pdf,1,not documented in the supplied documents
work location,Nikunja-1,Nikunja-1,1,Contract_Awards_PDFs/Tender_1035179.pdf,1,not documented in the supplied documents
work location,Khulna Sonadanga Bus Terminal,Khulna Sonadanga Bus Terminal,2,Contract_Awards_PDFs/Tender_1037582.pdf,1,not documented in the supplied documents
winner address,"1/1, Sabujbag, Charerhat Main Road, Khalishpur, Khulna.","1/1, Sabujbag, Charerhat Main Road, Khalishpur, Khulna.",1,Contract_Awards_PDFs/Tender_1037582.pdf,1,not documented in the supplied documents
work location,Jhilmil Residential Project Area,Jhilmil Residential Project Area,12,Contract_Awards_PDFs/Tender_1044320.pdf,1,not documented in the supplied documents
winner address,"Tropicana Tower (3rd Floor), 218 Shaheed Syed Nazrul Islam Saranee, Dhaka-1000","Tropicana Tower (3rd Floor), 218 Shaheed Syed Nazrul Islam Saranee, Dhaka-1000",4,Contract_Awards_PDFs/Tender_1056195.pdf,1,not documented in the supplied documents
work location,Jhilmil Residential Project area,Jhilmil Residential Project area,5,Contract_Awards_PDFs/Tender_1058293.pdf,1,not documented in the supplied documents
winner address,"Al-Khalif Trust Tower (1st Floor), 92, Arambag, Motijheel C/A, Dhaka-1000.00","Al-Khalif Trust Tower (1st Floor), 92, Arambag, Motijheel C/A, Dhaka-1000.00",1,Contract_Awards_PDFs/Tender_1060890.pdf,1,not documented in the supplied documents
winner address,"197, Dr. Kudrat-e-khuda Road(Judge Goli), Elephant Road, Dhaka-1205, Bangladesh","197, Dr. Kudrat-e-khuda Road(Judge Goli), Elephant Road, Dhaka-1205, Bangladesh",1,Contract_Awards_PDFs/Tender_1060895.pdf,1,not documented in the supplied documents
work location,"Gulshan, Dhaka","Gulshan, Dhaka",2,Contract_Awards_PDFs/Tender_1062494.pdf,1,not documented in the supplied documents
winner address,"Mir Mahbub Tower, 304, Sheikh Mujib Road, Dewanhat, Double Muring, Chattogram, PO : 4100, Bangladesh","Mir Mahbub Tower, 304, Sheikh Mujib Road, Dewanhat, Double Muring, Chattogram, PO : 4100, Bangladesh",1,Contract_Awards_PDFs/Tender_1069561.pdf,1,not documented in the supplied documents
winner address,"61, Bijoy Nagar, Eastern Arzoo, Suit No: 11/08, Dhaka-1000.","61, Bijoy Nagar, Eastern Arzoo, Suit No: 11/08, Dhaka-1000.",1,Contract_Awards_PDFs/Tender_1069562.pdf,1,not documented in the supplied documents
winner address,"28/C-3 Toyenbee Circular Road (1st Floor), Motijheel C/A, Dhaka","28/C-3 Toyenbee Circular Road (1st Floor), Motijheel C/A, Dhaka",1,Contract_Awards_PDFs/Tender_1072723.pdf,1,not documented in the supplied documents
work location,Sector No-18 (East Side) in Uttara (3rd Phase),Sector No-18 (East Side) in Uttara (3rd Phase),1,Contract_Awards_PDFs/Tender_1074002.pdf,1,not documented in the supplied documents
winner address,"58/Cha/1,Tejturi Bazar Chak,West Razabazar,Dhaka-1215","58/Cha/1,Tejturi Bazar Chak,West Razabazar,Dhaka-1215",11,Contract_Awards_PDFs/Tender_1074002.pdf,1,not documented in the supplied documents
work location,Rajuk Chairman Banglo,Rajuk Chairman Banglo,1,Contract_Awards_PDFs/Tender_1074661.pdf,1,not documented in the supplied documents
winner address,"House No. # 22, Road # 04, Block - C, Banani, Dhaka-1213","House No. # 22, Road # 04, Block - C, Banani, Dhaka-1213",3,Contract_Awards_PDFs/Tender_1074661.pdf,1,not documented in the supplied documents
winner address,"215, Bir Uttam Mir Shawkat Sarak, Tejgaon I/A, Dhaka-1208","215, Bir Uttam Mir Shawkat Sarak, Tejgaon I/A, Dhaka-1208",4,Contract_Awards_PDFs/Tender_1076521.pdf,1,not documented in the supplied documents
work location,Rajuk Zone-7 Office,Rajuk Zone-7 Office,1,Contract_Awards_PDFs/Tender_1077063.pdf,1,not documented in the supplied documents
winner address,"OTOBI Limited, OTOBI Centre (3rd Floor), Plot-12, Block CWS(C) Gulshan South Avenue, Gulshan-1, Dhaka-1212","OTOBI Limited, OTOBI Centre (3rd Floor), Plot-12, Block CWS(C) Gulshan South Avenue, Gulshan-1, Dhaka-1212",1,Contract_Awards_PDFs/Tender_1077063.pdf,1,not documented in the supplied documents
work location,Uttara Residential Area RAJUK,Uttara Residential Area RAJUK,8,Contract_Awards_PDFs/Tender_1081213.pdf,1,not documented in the supplied documents
work location,Gulshan Car Parking cum Office Building,Gulshan Car Parking cum Office Building,1,Contract_Awards_PDFs/Tender_1081271.pdf,1,not documented in the supplied documents
work location,"Mohammadpur, Dhaka","Mohammadpur, Dhaka",3,Contract_Awards_PDFs/Tender_1082896.pdf,1,not documented in the supplied documents
work location,Rajuk Officers Quarter,Rajuk Officers Quarter,1,Contract_Awards_PDFs/Tender_1083479.pdf,1,not documented in the supplied documents
winner address,"Kazi Tower, Flat 6B, 86, Inner Circular VIP Road Naya Paltan, Dhaka-1000.","Kazi Tower, Flat 6B, 86, Inner Circular VIP Road Naya Paltan, Dhaka-1000.",4,Contract_Awards_PDFs/Tender_1083479.pdf,1,not documented in the supplied documents
work location,Rajuk Bhaban,Rajuk Bhaban,27,Contract_Awards_PDFs/Tender_1083760.pdf,1,not documented in the supplied documents
work location,gate no 2 to Lalkhan bazaar and 2 no gate to Baby Super Market,gate no 2 to Lalkhan bazaar and 2 no gate to Baby Super Market,1,Contract_Awards_PDFs/Tender_108836.pdf,1,not documented in the supplied documents
