tender_id,source_file,page,table_generation,lot_no,identification,location,security_amount_taka,security_amount_original,start_date,completion_date
1001782,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1,lots_legacy,01,"Supply, Installation, Testing & Commissioning of Lift at CDA SQUARE Project (Lot-2).","Nasirabad, Chattogram",1400000,1400000,2024-08-08,2024-12-31
1001843,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1,lots_legacy,01,"CCTV, IP System & Fire Fighting Remaining Works at CDA SQUARE Project, Chattogram.","Nasirabad, Chattogram",700000,700000,2024-08-01,2024-12-31
1002615,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1,lots_legacy,01,Purchase of Excavator (Long Boom) under Chittagong Water Logging Project,CDA Building,925000,925000,2025-02-05,2025-06-30
100483,Tender Notice_PDFs/CDA_Tender_100483.pdf,1,lots_legacy,Lot-06,"Site Development/Improvement, Retaining wall & R.C.C L-Canal & ancillary works of Silimpur R/A (East)",Silimpur,1794000,1794000,2017-06-21,2018-06-20
1006947,Tender Notice_PDFs/CDA_Tender_1006947.pdf,1,lots_legacy,1,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",CDA Hill Chattogram,83300,83300,2024-09-15,2024-10-16
101083,Tender Notice_PDFs/CDA_Tender_101083.pdf,1,lots_legacy,Lot-01,"Construction work of affected area's boundary wall, column septic tank, water tank, silk coat, road marking and ancillary work under the project of widening and improvement of DC Road.",DC Road,120000,120000,2017-06-01,2017-06-29
1023323,Tender Notice_PDFs/CDA_Tender_1023323.pdf,1,lots_legacy,01,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project.","Nasirabad, Chattogram",250000,250000,2024-10-24,2024-12-31
1023333,Tender Notice_PDFs/CDA_Tender_1023333.pdf,1,lots_legacy,01,"Remaining Works at CDA Dewanhat Apartment Complex, Chattogram.","Dewanhat, Chittagong",350000,350000,2024-11-03,2025-04-30
1028832,Tender Notice_PDFs/CDA_Tender_1028832.pdf,1,lots_legacy,01,"Swimming Pool, Jacuzzi, Sauna, Fountain & Ancilary Work at CDA Square Project.","Nasirabad, Chattogram",250000,250000,2024-11-07,2024-12-31
1032943,Tender Notice_PDFs/CDA_Tender_1032943.pdf,1,lots_legacy,1,"Annual Repair & Painting Work at Chief Banglow and Other Related work at CDA Hill, Chattogram.",CDA Hill Badshah Miah Road Chattogram,64000,64000,2025-04-03,2025-05-04
1036609,Tender Notice_PDFs/CDA_Tender_1036609.pdf,1,lots_legacy,1,Development works of Agrabad Commerce College Road.,Agrabad Chattogram,2721000,2721000,2025-02-09,2025-10-30
1044421,Tender Notice_PDFs/CDA_Tender_1044421.pdf,1,lots_legacy,1,Supply of Stationary items at CDA,CDA Building,29000,29000,2025-01-30,2025-02-27
1048608,Tender Notice_PDFs/CDA_Tender_1048608.pdf,1,lots_legacy,1,Supply of Computer and Computer Accessories at CDA.,CDA Building,24030,24030,2025-01-12,2025-02-12
1049598,Tender Notice_PDFs/CDA_Tender_1049598.pdf,1,lots_legacy,1,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",CDA Hill Chattogram,83300,83300,2025-07-01,2025-07-31
1054573,Tender Notice_PDFs/CDA_Tender_1054573.pdf,1,lots_legacy,1,Supply of staff winter dress at CDA,CDA Building,28000,28000,2025-01-30,2025-02-27
108836,Tender Notice_PDFs/CDA_Tender_108836.pdf,1,lots_legacy,01,"Removal of existing 33/11/.4 KV electric pole, sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur, 2 no. Gate and GEC Junction Flyover (2 no. gate to Lalkhan bazaar and 2 no. gate to Baby Super Market)",gate no 2 to Lalkhan bazaar and 2 no gate to Baby Super Market,995000,995000,2017-08-16,2018-02-15
1111428,Tender Notice_PDFs/CDA_Tender_1111428.pdf,1,lots_legacy,1,"Construction of Boundary Wall at CDA Office Building, Chattogram",Kotwali Court Road Chattogram,340000,340000,2025-07-01,2025-09-30
1115432,Tender Notice_PDFs/CDA_Tender_1115432.pdf,1,lots_legacy,1,"Bricks Drain and Herring bond works at A Block Road, CDA Silimpur Residential Area Chattogram.",Silimpur Residential Area Chattogram,350700,350700,2025-07-15,2025-09-14
1123107,Tender Notice_PDFs/CDA_Tender_1123107.pdf,1,lots_legacy,1,"Maintenance work and other related works of Flat No- 11/7/A, 11/3/A, 11/2/B, 2/3, 9/1, 9/2, 8/2, 3/1, 3/5, 6/1, 7/9, 7/12 t Mehedibag CDA staff Quarter Chattogram.",Mehedibag Chattogram,85000,85000,2025-08-03,2025-11-02
1124277,Tender Notice_PDFs/CDA_Tender_1124277.pdf,1,lots_legacy,1,Everyday cleaning work of Shaheed Wasim Akram Elevated Expressway from WASA to Sea- Beach including all Ramps and Railing.,From starting of GEC Upward Ramp to Sea-Beach Junction,500000,500000,2025-08-10,2028-08-09
1128572,Tender Notice_PDFs/CDA_Tender_1128572.pdf,1,lots_legacy,1,"Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.",Mehedibag Chattogram,55000,55000,2025-07-31,2025-10-30
1128704,Tender Notice_PDFs/CDA_Tender_1128704.pdf,1,lots_legacy,1,"Supply and Installation CC Camera, LED Display, Digital Door Lock, Hard Disk, etc. and related works.",CDA Building,31000,31000,2025-07-24,2025-08-24
1129166,Tender Notice_PDFs/CDA_Tender_1129166.pdf,1,lots_legacy,1,Supply and Installation 64 Nos Battery and related works.,CDA Building,45000,45000,2025-07-24,2025-09-24
1129170,Tender Notice_PDFs/CDA_Tender_1129170.pdf,1,lots_legacy,1,"Supply of Thermal Paper Roll (PoS Printer) for Shaheed Wasim Akram Flyover Toll Operation, CDA.",CDA Building,45000,45000,2025-07-24,2025-08-24
114570,Tender Notice_PDFs/CDA_Tender_114570.pdf,1,lots_legacy,Mehedibag/01,Renovation and other work of 07no building at CDA Mehedibag staff Quarter,CDA mehedibagStaff Quarter Chgittagong,125000,125000,2017-10-02,2018-04-01
1153793,Tender Notice_PDFs/CDA_Tender_1153793.pdf,1,lots_legacy,1,"Renovation works for (50'-0"" wide - 1st Phase) of CDA Kalpolok residential area",Kolpolok Residential Area,350000,350000,2026-05-11,2026-11-12
1153808,Tender Notice_PDFs/CDA_Tender_1153808.pdf,1,lots_legacy,2,"Renovation work for(50'-0"" wide - 2nd phase) of CDA kalpolok residential area",Kalpaloke Residential Area,315000,315000,2026-05-11,2026-11-12
1153840,Tender Notice_PDFs/CDA_Tender_1153840.pdf,1,lots_legacy,3,Various development works of permanent playground in CDA Kalpolok residential area,Kalpaloke Residential,137000,137000,2026-05-11,2026-11-12
1153888,Tender Notice_PDFs/CDA_Tender_1153888.pdf,1,lots_legacy,4,Various works including development of park in CDA kalpolok residential area,Kalpaloke Residential,121000,121000,2026-05-11,2026-11-12
1231413,Tender Notice_PDFs/CDA_Tender_1231413.pdf,1,lots_legacy,1,Supply and Installation of 64 battery and related works,CDA Building,65000,65000,2026-03-15,2026-04-30
1251823,Tender Notice_PDFs/CDA_Tender_1251823.pdf,1,lots_legacy,1,"Maintenance work of Main gate, CTG map, CDA Logo at roof Top, Outer side painting and Other related works at Biponi Bitan A-block, Chattogram.","CDA Biponi Bitan, New Market Chattogram",71500,71500,2026-06-15,2026-07-16
1267626,Tender Notice_PDFs/CDA_Tender_1267626.pdf,1,lots_legacy,1,Procurement of toner for printers of different department of CDA,CDA Building,18000,18000,2026-05-24,2026-06-04
1280331,Tender Notice_PDFs/CDA_Tender_1280331.pdf,1,lots_legacy,1,"Repair, Maintenance and Other Related works at the damaged section of Oxyzen-Quaish Connecting Road.",Oxyzen Quaish Road,130000,130000,2026-06-21,2026-12-03
1287229,Tender Notice_PDFs/CDA_Tender_1287229.pdf,1,lots_legacy,1,Procurement of software and hardware for Database Storage and management for Preparation of Chattogram Metropolitan master Plan Project,"Master Plan Unit(4th floor), CDA Building, Kotwali, Chattogram.",600000,600000,2026-06-30,2026-08-20
1305867,Tender Notice_PDFs/CDA_Tender_1305867.pdf,1,lots_legacy,1,Supply of liveries for CDA staff.,CDA Building,35000,35000,2026-08-20,2026-09-21
1306342,Tender Notice_PDFs/CDA_Tender_1306342.pdf,1,lots_legacy,1,Webmail system for CDA Officials,CDA Building,49000,49000,2026-08-02,2026-08-17
133881,Tender Notice_PDFs/CDA_Tender_133881.pdf,1,lots_legacy,01,"Construction of 18 storied & 19 storied residential building with basement, pile cap,Mat foundation, underground basement, Water tank, Septic tank, Super structure,deep tube-wells, Internal Sanitary and plumbing work,Water Supply, Gas Connection, internal electrification work, Firefighting & protection work etc.",Nasirabad,15000000,15000000,2018-09-16,2020-12-31
147563,Tender Notice_PDFs/CDA_Tender_147563.pdf,1,lots_legacy,1,"Delivery, Supply and Installation of P6 Outdoor (30 feet x 15 feet or 31 feet x 16 feet or 31 feet x 15 feet or 32 feet x 16 feet or Â±Appropriate for the site) LED Video Display Panel at Biponi Bitan (Chittagong New Market)",Chittagong New Market,200000,200000,2018-01-29,2018-03-15
15000,Tender Notice_PDFs/CDA_Tender_15000.pdf,1,lots_legacy,01,"4 nos IP based security surveillance system camera supply and commissioning at Comilla (N) 230 kv Grid Substation under GMD, Comilla.",Comilla,10000,10000,2015-01-04,2015-01-25
173113,Tender Notice_PDFs/CDA_Tender_173113.pdf,2,lots_legacy,01,"Supply, Installation & Commissioning of P5 Outdoor (30.5 feet - 32 feet x 14.8 feet - 16 feet or 451 sqf -512 sqf Ã?Â±Appropriate for the site) LED Video Display Panel at Biponi Bitan (Chittagong New Market)",Chittagong New Market,275000,275000,2018-04-08,2018-05-24
178554,Tender Notice_PDFs/CDA_Tender_178554.pdf,1,lots_legacy,01,"Maintenance, Renovation & Ancillary work of CDA Banani Rest House at Dhaka.",BANANI DHAKA,240000,240000,2018-05-17,2018-07-17
18000,Tender Notice_PDFs/CDA_Tender_18000.pdf,1,lots_legacy,1,"Repair with carpeting seal coat work at 70th(p), 71th(p), 72th(p), 74th(p), 76th(p) and 77th(p) km of Thakurgaon-Nekmorode-Pirgonj-Birgonj Road under Road division, Dinajpur during the year 2014-15.",Different km,60000,60000,2015-03-10,2015-04-13
189939,Tender Notice_PDFs/CDA_Tender_189939.pdf,1,lots_legacy,01,"Beautification work from Lalkanbazar to Hotel Peninsula under construction of flyover at Muradpur, gate no.-2 & Gec junction, chittagong.",LALKHAN BAZAR TO PENINSULA HOTEL,662000,662000,2018-06-10,2018-10-09
189944,Tender Notice_PDFs/CDA_Tender_189944.pdf,1,lots_legacy,02,Beautification work from Hotel Peninsula to N Mohammed convention center under construction of flyover at Muradpur gate no.-2 & Gec junction chittagong.,Hotel Peninsula to N Mohammed convention center,2210000,2210000,2018-06-14,2018-10-14
192714,Tender Notice_PDFs/CDA_Tender_192714.pdf,1,lots_legacy,01,"Supply of Computer Accessories (Battery for APC 20 KV Online UPS, Harddisk for Dell Server & Air Conditioner for Power Station Room & Server Room) for CDA.",CDA Building,39500,39500,2018-08-07,2018-09-20
200650,Tender Notice_PDFs/CDA_Tender_200650.pdf,1,lots_legacy,01,"Construction of the road and drain work at CDA Silimpur Residential Area Extension (East) at Silimpur, Chittagong.",Silimpur,500000,500000,2018-06-18,2018-06-28
201012,Tender Notice_PDFs/CDA_Tender_201012.pdf,1,lots_legacy,01,"Supplying, Fitting, Fixing & laying natural gas connection and construction of 150 mm dia water supply line at Silimpur proposed CDA housing plot, Sitakundo, Chittagong.",Silimpur,250000,250000,2018-06-18,2018-06-28
201451,Tender Notice_PDFs/CDA_Tender_201451.pdf,1,lots_legacy,01,Electrification work at proposed CDA Silimpur Residential Area (East),Silimpur,200000,200000,2018-06-18,2018-06-28
212401,Tender Notice_PDFs/CDA_Tender_212401.pdf,1,lots_legacy,single lot,"Maintenance, Renovation & Ancillary work of CDA Banani Rest House at Dhaka",Dhaka,240000,240000,2018-09-18,2018-12-17
215555,Tender Notice_PDFs/CDA_Tender_215555.pdf,1,lots_legacy,single lot,Supply and installation of 03 Nos 100kva 11/0.4 kv outdoor substation (In line) & other related works for Aktharuzzaman Flyover's PDB line connection under the project of construction of Flyover at Muradpur gate no.2 & GEC Junction,Bhaddarhat Lalkhan Bazar Baby Super Market Flyover Ramps Part Chittagong,140500,140500,2018-10-04,2018-11-18
223246,Tender Notice_PDFs/CDA_Tender_223246.pdf,1,lots_legacy,01,"Construction of 18 storied & 19 storied residential building with basement, pile cap,Mat foundation, underground basement, Water tank, Septic tank, Super structure,deep tube-wells, Internal Sanitary and plumbing work,Water Supply, Gas Connection, internal electrification work, Firefighting & protection work etc.",Nasirabad,15000000,15000000,2018-11-18,2020-12-31
234888,Tender Notice_PDFs/CDA_Tender_234888.pdf,1,lots_legacy,01,Painting (weather Coat) and related works outer side of CDA Annex building,CDA Building kotwali court Road Chittagon,40000,40000,2019-01-03,2019-02-14
235131,Tender Notice_PDFs/CDA_Tender_235131.pdf,1,lots_legacy,01,Painting (weather Coat) and related works outer wall of CDA office building,Chittagong Development Authority CDA Building kotwali court road chittagong,55000,55000,2019-01-03,2019-02-14
235166,Tender Notice_PDFs/CDA_Tender_235166.pdf,1,lots_legacy,01,Construction of Raising Floor and necessary work for Building No- 04 and 09 of CDA mehedibag Staff Quarter,Chittagong Development Authority CDA Building kotwali court road chittagong,60000,60000,2019-01-03,2019-02-14
265155,Tender Notice_PDFs/CDA_Tender_265155.pdf,1,lots_legacy,1,Supply of 02 (Two) nos double cabin pickup and 01 (one) no Motorcycle under the project of Construction of Elevated Expressway from Lalkhan Bazar to Sha-Amanat Airport in Chittagong Town.,"CDA Building, 3rd Floor, Court Road, Kotwali Circle, Chittagong- 4000",295500,295500,2019-02-06,2019-02-20
281992,Tender Notice_PDFs/CDA_Tender_281992.pdf,1,lots_legacy,1,"RCC work, Brick wall, tiles, terracota and related works",Chittagong Court Buiding,145000,145000,2019-02-24,2019-04-24
287442,Tender Notice_PDFs/CDA_Tender_287442.pdf,1,lots_legacy,1,Construction of CC casting at Roof of office Building and Renovation work of 1st and 2nd Floor and Other Related Works.,"CDA Buiding, Chittagong",70000,70000,2019-03-31,2019-05-30
303865,Tender Notice_PDFs/CDA_Tender_303865.pdf,1,lots_legacy,1,"RCC work, Brick wall, tiles, terracota and related works",Chittagong Court Buiding,145000,145000,2019-04-25,2019-05-26
309557,Tender Notice_PDFs/CDA_Tender_309557.pdf,1,lots_legacy,1,"Maintenance and other related works of CDA hill, Banglow No.-02",CDA Hiil,85000,85000,2019-05-15,2019-08-14
342502,Tender Notice_PDFs/CDA_Tender_342502.pdf,1,lots_legacy,1,Maintenance work of Oxyzen quaish Road,Oxygen,2200000,2200000,2019-10-03,2020-04-02
357570,Tender Notice_PDFs/CDA_Tender_357570.pdf,1,lots_legacy,1,Seal Coat and Otherâ??s Related Work of CDA Staff Quarter Internal Road.,CDA Mehedibag Staff Quarter Chattogram,37500,37500,2019-11-05,2019-12-04
360423,Tender Notice_PDFs/CDA_Tender_360423.pdf,1,lots_legacy,1,Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.,"CDA Building, Court Road Chattogram",98000,98000,2019-11-03,2020-01-05
363990,Tender Notice_PDFs/CDA_Tender_363990.pdf,1,lots_legacy,1,Thai Partition and otherâ??s Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.,CDA Staff Quarter Mehedibag Chattogram,23500,23500,2019-11-03,2019-12-02
387658,Tender Notice_PDFs/CDA_Tender_387658.pdf,1,lots_legacy,1,"Installation Of Water Treatment Plant with Shed and Other related Work""s at CDA Hill.",Cda hill Chattogram,28000,28000,2020-01-15,2020-04-15
395550,Tender Notice_PDFs/CDA_Tender_395550.pdf,1,lots_legacy,1,Thai Partition and otherâ??s Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.,Mehedibag CDA Mashjid Chittagong,23500,23500,2020-01-30,2020-04-30
398199,Tender Notice_PDFs/CDA_Tender_398199.pdf,1,lots_legacy,1,"Supply, Installation, Testing and commissioning of 400KVA Sub station at CDA office Building",CDA Building,185000,185000,2020-08-03,2021-02-03
409461,Tender Notice_PDFs/CDA_Tender_409461.pdf,1,lots_legacy,1,"Supply, Installation, Testing and commissioning of 300KVA Stand-by Generator at CDA office Building",CDA Building,143000,143000,2020-08-03,2021-02-03
410561,Tender Notice_PDFs/CDA_Tender_410561.pdf,1,lots_legacy,1,"Renewing of fencing around Banglow No -2, Footpath , Tiles and other related works at CDA Hill.",CDA Hill Badsha Miah Road Chittagong,58000,58000,2020-04-01,2020-05-17
423315,Tender Notice_PDFs/CDA_Tender_423315.pdf,1,lots_legacy,1,Maintenance and Support work for CDA IT System,CDA Building,104000,104000,2020-04-01,2023-04-30
425270,Tender Notice_PDFs/CDA_Tender_425270.pdf,1,lots_legacy,1,"Supply installation, testing and commissioning of fire protection system (Hydrent System of CDA Saltgola Shopping Mall)",Saltgola Chittagong,86000,86000,2020-04-16,2020-05-18
427246,Tender Notice_PDFs/CDA_Tender_427246.pdf,1,lots_legacy,1,Thai Partition and others Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.,Mehedibag CDA Mashjid Chittagong,23500,23500,2020-03-29,2020-05-31
42800,Tender Notice_PDFs/CDA_Tender_42800.pdf,1,lots_legacy,1,"Development of Upazila H/Q to Gondamara UP Office Road (Dack Bangla-Gandamara UP to Mattabar Para Road) (Remaining Work) by BC at Ch: 3100m-4000m; Upazila: Banskhali, District: Chittagong (Road ID : 415083003).",Banskhali,75000,75000,2016-03-01,2016-06-30
434918,Tender Notice_PDFs/CDA_Tender_434918.pdf,1,lots_legacy,1,Renovation and other related works of Planning division (3rd floor) at CDA office Building,CDA Building Court Road Chattogram,25500,25500,2020-09-13,2020-10-28
436738,Tender Notice_PDFs/CDA_Tender_436738.pdf,1,lots_legacy,1,"Supply installation, testing and commissioning of fire protection system (Hydrent System of CDA Saltgola Shopping Mall)",Saltgola Chattogram,86000,86000,2020-04-15,2020-05-17
469159,Tender Notice_PDFs/CDA_Tender_469159.pdf,1,lots_legacy,1,Supply of 01 (one) No Jeep (Pajero) under the project of Construction of Elevated Expressway from Lalkhan Bazar to Sha-Amanat Airport in Chattogram Town.,CDA Building,140000,140000,2020-06-30,2020-07-09
478680,Tender Notice_PDFs/CDA_Tender_478680.pdf,1,lots_legacy,1,"Steel Cabinet Work in 2nd Floor Land Section and Renovation work for Data Centre and Power Room at CDA office Building, Chattogram",CDA Building kotowali court Road Chattogram,55000,55000,2020-09-15,2020-10-15
498041,Tender Notice_PDFs/CDA_Tender_498041.pdf,1,lots_legacy,1,Renovation and other related works of CDA Staff quarter at Mehedibag Chattogram,CDA Staf Quarter Mehedibag Chattogram,71500,71500,2020-11-16,2021-02-17
501707,Tender Notice_PDFs/CDA_Tender_501707.pdf,1,lots_legacy,1,Repair and Maintenance work for Building No-01 at Sholoshohor Staff quarter,"CDASholoshohor Staff Quarter, CTG",78000,78000,2020-12-01,2021-02-28
504349,Tender Notice_PDFs/CDA_Tender_504349.pdf,1,lots_legacy,1,Annual Repair and Maintenance work for Building No-01 at Sholoshohor Staff quarter,"CDA Sholoshohor Staff Quarter, Building No-04 , Chattogram",67500,67500,2020-12-01,2021-02-28
504351,Tender Notice_PDFs/CDA_Tender_504351.pdf,1,lots_legacy,1,Annual Repair and Maintenance work for Building No-02 & 03 at Sholoshohor Staff quarter,Sholoshar Statt Quater,58000,58000,2020-12-01,2021-02-28
507215,Tender Notice_PDFs/CDA_Tender_507215.pdf,1,lots_legacy,1,"Construction of Boundary wall at CDA land located at west side of saltgola shopping Mall, Chattogram",Saltgola Chattogram,27500,27500,2020-12-20,2021-02-18
514221,Tender Notice_PDFs/CDA_Tender_514221.pdf,1,lots_legacy,1,"Supply of EMS, Access Control, Fire detection and protection system of CDA Data Centre",CDA Bulding,30000,30000,2021-03-15,2021-05-16
515366,Tender Notice_PDFs/CDA_Tender_515366.pdf,1,lots_legacy,1,Construction of Front Boundary wall and other related works at CDA Sholoshahor Staff Quarter,"CDA staff Quarter, Sholoshar",84000,84000,2021-01-14,2021-04-14
515689,Tender Notice_PDFs/CDA_Tender_515689.pdf,1,lots_legacy,01,"Maintenance and other related works of Road No.-02 (40""-0"" wide) of CDA Kolpalok R/A - Lot-01","Bakalia,Chattogram",131500,131500,2021-01-03,2021-04-04
516211,Tender Notice_PDFs/CDA_Tender_516211.pdf,1,lots_legacy,02,"Maintenance and other related works of Road No.-02 (40""-0"" wide) of CDA Kolpalok R/A - Lot-02","Bakalia,Chattogram",105500,105500,2021-01-03,2021-04-04
516212,Tender Notice_PDFs/CDA_Tender_516212.pdf,1,lots_legacy,03,"Maintenance and other related works of Road No.-02 (40""-0"" wide) of CDA Kolpalok R/A -Lot- 03","Bakalia, Chattogram",107000,107000,2021-01-03,2021-04-04
516485,Tender Notice_PDFs/CDA_Tender_516485.pdf,1,lots_legacy,04,"Maintenance and other related works of Road No.-02 (40""-0"" wide) of CDA Kolpalok R/A - Lot-04","Bakalia,Chattogram",98000,98000,2021-01-03,2021-04-04
519402,Tender Notice_PDFs/CDA_Tender_519402.pdf,1,lots_legacy,1,"Repair and Maintenance of outer surface drain, Painting of Weather coat in the outer wall of the Sholosahar staff Quarter's Building and other repairing works","CDA staff Quarter, Sholoshar",55000,55000,2021-01-14,2021-04-13
523954,Tender Notice_PDFs/CDA_Tender_523954.pdf,1,lots_legacy,1,"Renovation and other related works of Engineers office room at 5th floor CDA Building, Chattogram",CDA Building Court Road Chattogram,23000,23000,2021-02-14,2021-03-15
527700,Tender Notice_PDFs/CDA_Tender_527700.pdf,1,lots_legacy,1,"Repair and maintenance work of market super office and toilet block at CDA pahartoli market, Chattogram",CDA Pahartoli Market Chattogram,38500,38500,2021-02-28,2021-04-29
528774,Tender Notice_PDFs/CDA_Tender_528774.pdf,1,lots_legacy,1,"Construction of Pump House, underground water tank and Boundary wall at CDA pahartoli Market, Chattogram.",CDA Pahartoli Market Chattogram,50000,50000,2021-02-28,2021-04-29
538256,Tender Notice_PDFs/CDA_Tender_538256.pdf,1,lots_legacy,01,"Construction of link road of CEPZ with the ""Chittagong City Outer Ring Road"" project being implemented by the Chattogram Development Authority and Execution of other ancillary works including workways, plazas.","Uttar Patenga and Halisohor, Chattogram",30000000,30000000,2021-04-01,2021-12-30
539744,Tender Notice_PDFs/CDA_Tender_539744.pdf,1,lots_legacy,1,"Construction of Surface Drain of Ground Floor & 1st Floor at CDA Biponi Bitan-B Block, Chattogram.",CDA Biponi Bitan B Block New Market Chattogram,61000,61000,2021-03-15,2021-04-15
539749,Tender Notice_PDFs/CDA_Tender_539749.pdf,1,lots_legacy,1,"Construction works of passage beside the escalator at CDA Biponi Bitan A Block ,Chattogram.",CDA Biponi Bitan New Market Chattogram,60000,60000,2021-03-15,2021-04-15
547817,Tender Notice_PDFs/CDA_Tender_547817.pdf,1,lots_legacy,1,"Construction of Boundary wall at CDA land located at west side of saltgola shopping mall, Chattogram.",Saltgola Chattogram,28000,28000,2021-03-15,2021-05-16
596661,Tender Notice_PDFs/CDA_Tender_596661.pdf,1,lots_legacy,Lot 01,Construction of Access Road (Partial Remaining Work) from Sirajuddaula Road to Shah Amanat Bridge Connecting Road (Bakalia Access) Chittagong (Lot-02).,Bakalia,2500000,2500000,2021-11-11,2022-11-10
598954,Tender Notice_PDFs/CDA_Tender_598954.pdf,1,lots_legacy,1,"Supplying and applying weather Coat on outside of Garage, rest house and other related repair maintenance work",CDA Building Chattogram,58500,58500,2021-11-25,2021-12-27
614376,Tender Notice_PDFs/CDA_Tender_614376.pdf,1,lots_legacy,1,Annual repairing and Maintenance work of Building No-11 at Mehedibag CDA staff Quarter Chattogram.,Mehedibag CDA staff Quarter Chattogram,170000,170000,2021-12-01,2022-03-02
616340,Tender Notice_PDFs/CDA_Tender_616340.pdf,1,lots_legacy,1,Construction of Garage at Mehedibag CDA staff Quarter Chattogram.,Mehedibag CDA staff Quarter Chattogram,106000,106000,2021-12-01,2022-01-30
627787,Tender Notice_PDFs/CDA_Tender_627787.pdf,1,lots_legacy,1,repair and Maintenance of oxyzen Quaish Road,oxyzen Quaish Road,2100000,2100000,2022-02-20,2022-06-30
629331,Tender Notice_PDFs/CDA_Tender_629331.pdf,1,lots_legacy,01,"Supply Installation, testing and commissioning of 11KV HT switchgear at CDA Biponi Bitan A block building",Biponi Bitan A block,73000,73000,2022-01-20,2022-04-17
631780,Tender Notice_PDFs/CDA_Tender_631780.pdf,1,lots_legacy,1,Construction of Vertical extension of boundary wall and mesh fencing work at CDA hill south west side.,"CDA hill, Chittagong",98000,98000,2022-02-15,2022-04-19
637086,Tender Notice_PDFs/CDA_Tender_637086.pdf,1,lots_legacy,01,"Annual Repairing and Maintenance works of Building No. 01 & 02 Mehedibag CDA Staff Quarter, Chattogram.","Mehedibag, Chattogram",83500,83500,2022-02-22,2022-05-26
640368,Tender Notice_PDFs/CDA_Tender_640368.pdf,1,lots_legacy,01,Repair and maintenance work of dormitory and others related work.,CDA hill Chittagong,80000,80000,2022-03-01,2022-05-31
644083,Tender Notice_PDFs/CDA_Tender_644083.pdf,1,lots_legacy,01,"Annual Repairing and Maintenance Works of Building No. 03 and 04 Mehedibag CDA Staff Quarter, Chattogram",Mehedibag Chattogram,83000,83000,2022-03-20,2022-05-24
644697,Tender Notice_PDFs/CDA_Tender_644697.pdf,1,lots_legacy,01,"Supply of staff liveries (shoes, socks, umbrella and stitches summer cloth etc.) at CDA","CDA Building, Kotowali, Chattogram",114000,114000,2022-02-01,2022-03-01
647622,Tender Notice_PDFs/CDA_Tender_647622.pdf,1,lots_legacy,01,"Renovation and other related works of chairman Bungalow at CDA hill, Chattogram",CDA hill Chittagong,229000,229000,2022-03-20,2022-05-22
655654,Tender Notice_PDFs/CDA_Tender_655654.pdf,1,lots_legacy,01,"Supply of computers and electronic equipments (computers, laptop, plotter, printer, digital camera, photocopy machine, scanner, projector, etc.) for Chattogram Metropolitan Masterplan Project at CDA, Chattogram.","CDA Building, Kotowali, Chattogram",55500,55500,2022-03-06,2022-04-06
657600,Tender Notice_PDFs/CDA_Tender_657600.pdf,1,lots_legacy,01,"Supply of staff liveries (shoes, socks, umbrella and stitches summer cloth etc.) at CDA",CDA Building,34000,34000,2022-03-15,2022-04-14
667218,Tender Notice_PDFs/CDA_Tender_667218.pdf,2,lots_legacy,01,"Annual Repairing and maintenance work of building no. 8 & 9 at mehedibag CDA staff quarter, Chattogram",Mehedibag CDA Staff Quarter Chattogram,92000,92000,2022-05-10,2022-07-10
669414,Tender Notice_PDFs/CDA_Tender_669414.pdf,1,lots_legacy,01,"Annual repairing and maintenance work of building no. 07 & 10 at Mehedibag staff quarter, Chattogram",Mehedibag Chattogram,75000,75000,2022-07-03,2022-10-31
670154,Tender Notice_PDFs/CDA_Tender_670154.pdf,1,lots_legacy,01,"Annual Repairing and Maintenance works of Building No. 05 & 06 at Mehedibag Staff Quarter, Chattogram",Mehedibag CDA Staff Quarter Chattogram,83200,83200,2022-05-12,2022-08-11
670297,Tender Notice_PDFs/CDA_Tender_670297.pdf,1,lots_legacy,01,"Supply of computers and electronic equipments (computers, laptop, plotter, printer, digital camera, photocopy machine, scanner, projector, etc.) for Chattogram Metropolitan Masterplan Project at CDA, Chattogram.","CDA Building, Kotowali, Chattogram",55500,55500,2022-03-31,2022-04-28
683811,Tender Notice_PDFs/CDA_Tender_683811.pdf,1,lots_legacy,01,"Renovation works for CDA Masterplan Project & another office at CDA Building 5th floor, Chattogram",CDA Building Kotowali Chattogram,124000,124000,2022-07-03,2022-10-31
